onset	duration	trial_type
16	4	child
20	4	number
24	4	adult
28	4	limb
32	4	child
40	4	house
44	4	body
48	4	word
60	4	instrument
64	4	car
72	4	corridor
76	4	number
80	4	word
84	4	house
88	4	adult
96	4	instrument
100	4	number
104	4	limb
108	4	corridor
112	4	body
120	4	child
124	4	adult
128	4	car
132	4	child
136	4	limb
140	4	body
144	4	word
152	4	number
156	4	word
160	4	adult
164	4	house
168	4	instrument
172	4	number
176	4	car
180	4	limb
184	4	child
188	4	word
192	4	instrument
196	4	car
200	4	corridor
204	4	instrument
208	4	house
212	4	corridor
216	4	number
220	4	house
228	4	body
232	4	corridor
236	4	adult
240	4	child
244	4	house
248	4	corridor
256	4	word
260	4	limb
264	4	body
268	4	car
272	4	limb
284	4	body
288	4	instrument
292	4	adult
296	4	car
